level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	5195	7144	-1	
2	1	1	0	0	0	4956	302	83	109	-1	
3	1	1	1	0	0	4956	302	83	109	-1	
4	1	1	1	1	0	4956	302	83	109	-1	
5	1	1	1	1	1	4956	302	83	109	0.000000	~
2	1	2	0	0	0	3480	0	1702	2300	-1	
3	1	2	1	0	0	3480	0	1702	2300	-1	
4	1	2	1	1	0	3480	0	1702	2300	-1	
5	1	2	1	1	1	3480	0	1385	2300	95.000000	       
5	1	2	1	1	2	5153	0	29	436	95.000000	 
2	1	3	0	0	0	362	428	2628	262	-1	
3	1	3	1	0	0	362	428	2628	262	-1	
4	1	3	1	1	0	495	428	1781	83	-1	
5	1	3	1	1	1	495	429	110	82	38.533890	J
5	1	3	1	1	2	2139	428	137	8	37.123627	t=
4	1	3	1	2	0	362	461	2628	229	-1	
5	1	3	1	2	1	362	467	244	165	58.793331	ff,
5	1	3	1	2	2	1289	461	155	155	89.713326	©
5	1	3	1	2	3	1482	457	76	182	89.119331	@
5	1	3	1	2	4	1692	537	291	82	65.376610	corey
5	1	3	1	2	5	2019	541	568	90	32.786884	RovFRaNcis
5	1	3	1	2	6	2645	526	345	164	30.467033	ee
2	1	4	0	0	0	1539	792	335	5	-1	
3	1	4	1	0	0	1539	792	335	5	-1	
4	1	4	1	1	0	1539	792	335	5	-1	
5	1	4	1	1	1	1539	792	335	5	95.000000	 
2	1	5	0	0	0	868	890	2489	235	-1	
3	1	5	1	0	0	868	890	2489	235	-1	
4	1	5	1	1	0	868	890	2489	76	-1	
5	1	5	1	1	1	868	893	255	73	85.636940	First
5	1	5	1	1	2	1176	892	252	71	95.739349	child
5	1	5	1	1	3	1480	896	203	67	95.958237	born
5	1	5	1	1	4	1734	899	102	67	96.179443	to
5	1	5	1	1	5	1887	901	249	64	92.074364	James
5	1	5	1	1	6	2189	901	90	63	89.916481	H.
5	1	5	1	1	7	2343	898	154	66	96.532387	and
5	1	5	1	1	8	2546	897	251	68	93.173378	Pearl
5	1	5	1	1	9	2851	898	89	66	86.535240	C.
5	1	5	1	1	10	3003	890	354	73	95.011940	Francis
4	1	5	1	2	0	871	1042	2017	83	-1	
5	1	5	1	2	1	871	1052	202	64	95.949570	June
5	1	5	1	2	2	1128	1046	94	67	96.241043	26
5	1	5	1	2	3	1283	1047	235	78	95.859146	1910,
5	1	5	1	2	4	1583	1042	97	71	96.379501	in
5	1	5	1	2	5	1736	1042	352	74	96.339806	Enfield
5	1	5	1	2	6	2138	1048	258	68	96.526497	North
5	1	5	1	2	7	2447	1043	441	73	94.407379	Carolina.
2	1	6	0	0	0	831	1302	2443	590	-1	
3	1	6	1	0	0	831	1302	2443	590	-1	
4	1	6	1	1	0	831	1302	2443	135	-1	
5	1	6	1	1	1	831	1351	445	68	64.686531	‘Educated
5	1	6	1	1	2	1327	1353	102	66	96.526741	at
5	1	6	1	1	3	1479	1345	405	74	96.161484	McDaniel
5	1	6	1	1	4	1939	1350	504	87	96.128868	Elementary
5	1	6	1	1	5	2499	1350	340	80	96.517754	School,
