level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	7084	9742	-1	
2	1	1	0	0	0	0	0	7084	1340	-1	
3	1	1	1	0	0	0	0	7084	1340	-1	
4	1	1	1	1	0	0	0	7084	1340	-1	
5	1	1	1	1	1	0	0	7084	1340	95.000000	 
2	1	2	0	0	0	437	2760	7	105	-1	
3	1	2	1	0	0	437	2760	7	105	-1	
4	1	2	1	1	0	437	2760	7	105	-1	
5	1	2	1	1	1	437	2760	7	105	36.721092	|
2	1	3	0	0	0	421	4872	9	487	-1	
3	1	3	1	0	0	421	4872	9	487	-1	
4	1	3	1	1	0	421	4872	9	487	-1	
5	1	3	1	1	1	421	4872	9	487	95.000000	 
2	1	4	0	0	0	406	6294	16	303	-1	
3	1	4	1	0	0	406	6294	16	303	-1	
4	1	4	1	1	0	406	6294	16	303	-1	
5	1	4	1	1	1	406	6440	15	157	36.217644	ee
2	1	5	0	0	0	396	6600	23	259	-1	
3	1	5	1	0	0	396	6600	23	259	-1	
4	1	5	1	1	0	396	6600	23	259	-1	
5	1	5	1	1	1	401	6790	12	69	4.952364	on
5	1	5	1	1	2	396	6600	23	133	36.002388	oo
2	1	6	0	0	0	406	6658	19	722	-1	
3	1	6	1	0	0	406	6658	19	722	-1	
4	1	6	1	1	0	406	6658	19	722	-1	
5	1	6	1	1	1	406	6658	19	722	95.000000	 
2	1	7	0	0	0	0	7532	234	1192	-1	
3	1	7	1	0	0	0	7532	234	1192	-1	
4	1	7	1	1	0	0	7532	234	1192	-1	
5	1	7	1	1	1	0	7532	234	1192	95.000000	 
2	1	8	0	0	0	160	8532	12	435	-1	
3	1	8	1	0	0	160	8532	12	435	-1	
4	1	8	1	1	0	160	8532	12	435	-1	
5	1	8	1	1	1	160	8532	12	435	95.000000	 
2	1	9	0	0	0	906	1815	410	92	-1	
3	1	9	1	0	0	906	1815	410	92	-1	
4	1	9	1	1	0	906	1815	410	92	-1	
5	1	9	1	1	1	906	1815	410	92	96.555618	NAME:
2	1	10	0	0	0	911	2086	1133	1376	-1	
3	1	10	1	0	0	911	2086	1133	1238	-1	
4	1	10	1	1	0	912	2086	1038	103	-1	
5	1	10	1	1	1	912	2095	341	94	96.337814	DATE
5	1	10	1	1	2	1298	2091	168	94	96.105179	OF
5	1	10	1	1	3	1516	2086	434	92	96.731239	BIRTH:
4	1	10	1	2	0	911	2225	1117	103	-1	
5	1	10	1	2	1	911	2236	421	92	96.484451	PLACE
5	1	10	1	2	2	1378	2232	168	91	96.486038	OF
5	1	10	1	2	3	1598	2225	430	93	94.571953	BIRTH:
4	1	10	1	3	0	914	2369	1130	104	-1	
5	1	10	1	3	1	914	2373	676	100	91.476097	MOTHER’S
5	1	10	1	3	2	1636	2369	408	92	96.639038	NAME:
4	1	10	1	4	0	920	2510	1088	102	-1	
5	1	10	1	4	1	920	2515	633	97	95.769096	FATHER’S
5	1	10	1	4	2	1600	2510	408	93	96.388535	NAME:
4	1	10	1	5	0	923	2656	928	99	-1	
5	1	10	1	5	1	923	2662	397	93	96.070091	BIRTH
5	1	10	1	5	2	1369	2656	482	94	96.083519	ORDER:
4	1	10	1	6	0	924	2796	904	102	-1	
5	1	10	1	6	1	924	2796	904	102	95.631866	OCCUPATION:
4	1	10	1	7	0	927	2938	1006	102	-1	
5	1	10	1	7	1	927	2938	1006	102	94.795647	RELATIONSHIP:
4	1	10	1	8	0	927	3081	632	97	-1	
5	1	10	1	8	1	927	3081	632	97	96.089783	TALENTS:
4	1	10	1	9	0	931	3227	497	97	-1	
5	1	10	1	9	1	931	3227	497	97	96.113785	SKILLS:
3	1	10	2	0	0	936	3365	476	97	-1	
4	1	10	2	1	0	936	3365	476	97	-1	
5	1	10	2	1	1	936	3365	476	97	96.769325	GOALS:
2	1	11	0	0	0	944	3642	638	99	-1	
3	1	11	1	0	0	944	3642	638	99	-1	
4	1	11	1	1	0	944	3642	638	99	-1	
5	1	11	1	1	1	944	3642	638	99	96.564156	DISLIKES:
2	1	12	0	0	0	948	3919	783	244	-1	
3	1	12	1	0	0	948	3919	783	244	-1	
4	1	12	1	1	0	948	3919	783	101	-1	
5	1	12	1	1	1	948	3919	783	101	95.843178	OFFSPRING:
4	1	12	1	2	0	952	4066	501	97	-1	
5	1	12	1	2	1	952	4066	501	97	96.317818	MOTTO:
2	1	13	0	0	0	475	4700	796	19	-1	
3	1	13	1	0	0	475	4700	796	19	-1	
4	1	13	1	1	0	475	4700	796	19	-1	
5	1	13	1	1	1	475	4700	796	19	95.000000	 
2	1	14	0	0	0	675	4705	596	9	-1	
3	1	14	1	0	0	675	4705	596	9	-1	
4	1	14	1	1	0	675	4705	596	9	-1	
5	1	14	1	1	1	675	4705	596	9	95.000000	 
2	1	15	0	0	0	0	3791	487	1733	-1	
3	1	15	1	0	0	0	3791	487	1733	-1	
4	1	15	1	1	0	0	3791	487	1733	-1	
5	1	15	1	1	1	0	3791	487	1733	95.000000	 
2	1	16	0	0	0	834	5715	408	88	-1	
3	1	16	1	0	0	834	5715	408	88	-1	
4	1	16	1	1	0	834	5715	408	88	-1	
5	1	16	1	1	1	834	5715	408	88	96.058403	NAME:
2	1	17	0	0	0	835	5987	1135	1501	-1	
3	1	17	1	0	0	835	5987	1135	1501	-1	
4	1	17	1	1	0	838	5987	1036	95	-1	
5	1	17	1	1	1	838	5994	340	88	95.897522	DATE
