level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	5195	7144	-1	
2	1	1	0	0	0	238	0	710	10	-1	
3	1	1	1	0	0	238	0	710	10	-1	
4	1	1	1	1	0	238	0	710	10	-1	
5	1	1	1	1	1	238	0	710	10	95.000000	 
2	1	2	0	0	0	1679	648	2169	2895	-1	
3	1	2	1	0	0	1679	648	2169	2895	-1	
4	1	2	1	1	0	1679	648	2169	2895	-1	
5	1	2	1	1	1	1679	648	2169	2895	95.000000	 
2	1	3	0	0	0	983	3829	1949	230	-1	
3	1	3	1	0	0	983	3829	1949	230	-1	
4	1	3	1	1	0	983	3829	1419	105	-1	
5	1	3	1	1	1	983	3853	222	81	96.379341	Date
5	1	3	1	1	2	1247	3845	101	86	95.661659	of
5	1	3	1	1	3	1377	3842	273	85	96.323380	Birth:
5	1	3	1	1	4	1727	3841	217	83	96.530586	June
5	1	3	1	1	5	1993	3835	134	98	96.918800	12,
5	1	3	1	1	6	2179	3829	223	88	96.452850	1916
4	1	3	1	2	0	984	3949	1948	110	-1	
5	1	3	1	2	1	984	3976	257	83	96.737091	Place
5	1	3	1	2	2	1285	3970	103	86	95.863899	of
5	1	3	1	2	3	1421	3967	273	86	95.863899	Birth:
5	1	3	1	2	4	1779	3961	380	96	96.573326	Enfield,
5	1	3	1	2	5	2203	3957	279	84	96.538223	North
5	1	3	1	2	6	2524	3949	408	89	96.481346	Carolina
2	1	4	0	0	0	985	4080	1684	122	-1	
3	1	4	1	0	0	985	4080	1684	122	-1	
4	1	4	1	1	0	985	4080	1684	122	-1	
5	1	4	1	1	1	985	4107	223	83	96.576935	Date
5	1	4	1	1	2	1247	4100	101	86	96.576935	of
5	1	4	1	1	3	1378	4095	312	87	96.679352	Death:
5	1	4	1	1	4	1768	4088	509	114	96.344193	September
5	1	4	1	1	5	2323	4086	72	98	96.500053	1,
5	1	4	1	1	6	2445	4080	224	88	96.500053	1990
2	1	5	0	0	0	990	4334	2221	363	-1	
3	1	5	1	0	0	990	4334	2221	363	-1	
4	1	5	1	1	0	990	4334	1901	111	-1	
5	1	5	1	1	1	990	4356	431	89	92.242859	Mother’s
5	1	5	1	1	2	1464	4355	310	83	96.598358	Name:
5	1	5	1	1	3	1852	4345	242	87	94.854912	Pearl
5	1	5	1	1	4	2133	4343	375	86	94.854912	Clanton
5	1	5	1	1	5	2545	4334	346	87	96.812943	Francis
4	1	5	1	2	0	990	4462	1807	113	-1	
5	1	5	1	2	1	990	4483	386	87	91.734001	Father’s
5	1	5	1	2	2	1415	4480	309	83	96.342369	Name:
5	1	5	1	2	3	1798	4476	287	83	96.212837	James
5	1	5	1	2	4	2124	4471	294	104	96.312675	Henry
5	1	5	1	2	5	2453	4462	344	86	96.409805	Francis
4	1	5	1	3	0	992	4584	2219	113	-1	
5	1	5	1	3	1	992	4612	246	85	95.957649	Birth
5	1	5	1	3	2	1280	4608	305	86	95.957649	Order:
5	1	5	1	3	3	1672	4601	250	87	96.268654	Sixth
5	1	5	1	3	4	1965	4596	236	87	96.424461	child
5	1	5	1	3	5	2245	4593	102	86	96.319389	of
5	1	5	1	3	6	2382	4593	395	83	96.191650	fourteen
5	1	5	1	3	7	2821	4584	390	86	96.784927	children
2	1	6	0	0	0	996	4816	3777	533	-1	
3	1	6	1	0	0	996	4816	3777	533	-1	
