level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	5195	7144	-1	
2	1	1	0	0	0	3965	1141	30	27	-1	
3	1	1	1	0	0	3965	1141	30	27	-1	
4	1	1	1	1	0	3965	1141	30	27	-1	
5	1	1	1	1	1	3949	1159	51	13	0.000000	P
2	1	2	0	0	0	3967	1221	12	21	-1	
3	1	2	1	0	0	3967	1221	12	21	-1	
4	1	2	1	1	0	3967	1221	12	21	-1	
5	1	2	1	1	1	3963	1234	24	12	0.000000	~
2	1	3	0	0	0	3702	1340	14	22	-1	
3	1	3	1	0	0	3702	1340	14	22	-1	
4	1	3	1	1	0	3702	1340	14	22	-1	
5	1	3	1	1	1	3702	1340	14	22	66.155487	»
2	1	4	0	0	0	3589	987	160	443	-1	
3	1	4	1	0	0	3583	987	168	443	-1	
4	1	4	1	1	0	3658	987	91	97	-1	
5	1	4	1	1	1	3658	987	91	97	19.564915	x
4	1	4	1	2	0	3651	1134	97	27	-1	
5	1	4	1	2	1	3651	1134	22	27	62.280190	ra
5	1	4	1	2	2	3732	1135	16	25	15.833197	@
4	1	4	1	3	0	3589	1297	74	22	-1	
5	1	4	1	3	1	3589	1306	13	13	14.169502	»
4	1	4	1	4	0	3603	1321	95	16	-1	
5	1	4	1	4	1	3603	1321	16	16	0.000000	&
4	1	4	1	5	0	3680	1398	33	32	-1	
5	1	4	1	5	1	3680	1398	33	32	58.788891	q
2	1	5	0	0	0	3894	340	426	1146	-1	
3	1	5	1	0	0	3894	340	426	1146	-1	
4	1	5	1	1	0	3894	342	66	1081	-1	
5	1	5	1	1	1	3932	1415	8	8	0.000000	,
5	1	5	1	1	2	3894	1308	39	35	36.393452	A
5	1	5	1	1	3	3916	1247	20	20	0.000000	,
5	1	5	1	1	4	3915	1166	45	53	25.841995	Ys
5	1	5	1	1	5	3911	1089	49	46	0.000000	rs
5	1	5	1	1	6	3909	342	2	5	30.402073	'
4	1	5	1	2	0	3910	340	261	1146	-1	
5	1	5	1	2	1	4003	1263	71	223	17.012701	CES
5	1	5	1	2	2	3910	940	261	260	36.245018	Ye
5	1	5	1	2	3	4026	340	63	319	11.700716	POLS
4	1	5	1	3	0	4305	547	15	10	-1	
5	1	5	1	3	1	4305	547	15	10	0.000000	‘
2	1	6	0	0	0	3720	1213	30	254	-1	
3	1	6	1	0	0	3720	1213	30	254	-1	
4	1	6	1	1	0	3720	1213	30	254	-1	
